run_id,trained_at,instance,algo,job,machine,op_index,start,end,duration
3,2026-05-19 14:22:15,ft06,fifo,0,2,0,0,1,1
3,2026-05-19 14:22:15,ft06,fifo,0,0,1,1,4,3
3,2026-05-19 14:22:15,ft06,fifo,0,1,2,4,10,6
3,2026-05-19 14:22:15,ft06,fifo,0,3,3,10,17,7
3,2026-05-19 14:22:15,ft06,fifo,0,5,4,17,20,3
3,2026-05-19 14:22:15,ft06,fifo,0,4,5,20,26,6
3,2026-05-19 14:22:15,ft06,fifo,1,1,0,10,18,8
3,2026-05-19 14:22:15,ft06,fifo,1,2,1,18,23,5
3,2026-05-19 14:22:15,ft06,fifo,1,4,2,26,36,10
3,2026-05-19 14:22:15,ft06,fifo,1,5,3,36,46,10
3,2026-05-19 14:22:15,ft06,fifo,1,0,4,46,56,10
3,2026-05-19 14:22:15,ft06,fifo,1,3,5,56,60,4
3,2026-05-19 14:22:15,ft06,fifo,2,2,0,23,28,5
3,2026-05-19 14:22:15,ft06,fifo,2,3,1,60,64,4
3,2026-05-19 14:22:15,ft06,fifo,2,5,2,64,72,8
3,2026-05-19 14:22:15,ft06,fifo,2,0,3,72,81,9
3,2026-05-19 14:22:15,ft06,fifo,2,1,4,81,82,1
3,2026-05-19 14:22:15,ft06,fifo,2,4,5,82,89,7
3,2026-05-19 14:22:15,ft06,fifo,3,1,0,82,87,5
3,2026-05-19 14:22:15,ft06,fifo,3,0,1,87,92,5
3,2026-05-19 14:22:15,ft06,fifo,3,2,2,92,97,5
3,2026-05-19 14:22:15,ft06,fifo,3,3,3,97,100,3
3,2026-05-19 14:22:15,ft06,fifo,3,4,4,100,108,8
3,2026-05-19 14:22:15,ft06,fifo,3,5,5,108,117,9
3,2026-05-19 14:22:15,ft06,fifo,4,2,0,97,106,9
3,2026-05-19 14:22:15,ft06,fifo,4,1,1,106,109,3
3,2026-05-19 14:22:15,ft06,fifo,4,4,2,109,114,5
3,2026-05-19 14:22:15,ft06,fifo,4,5,3,117,121,4
3,2026-05-19 14:22:15,ft06,fifo,4,0,4,121,124,3
3,2026-05-19 14:22:15,ft06,fifo,4,3,5,124,125,1
3,2026-05-19 14:22:15,ft06,fifo,5,1,0,109,112,3
3,2026-05-19 14:22:15,ft06,fifo,5,3,1,125,128,3
3,2026-05-19 14:22:15,ft06,fifo,5,5,2,128,137,9
3,2026-05-19 14:22:15,ft06,fifo,5,0,3,137,147,10
3,2026-05-19 14:22:15,ft06,fifo,5,4,4,147,151,4
3,2026-05-19 14:22:15,ft06,fifo,5,2,5,151,152,1
4,2026-05-19 23:06:41,ft06,fifo,0,2,0,0,1,1
4,2026-05-19 23:06:41,ft06,fifo,0,0,1,1,4,3
4,2026-05-19 23:06:41,ft06,fifo,0,1,2,4,10,6
4,2026-05-19 23:06:41,ft06,fifo,0,3,3,10,17,7
4,2026-05-19 23:06:41,ft06,fifo,0,5,4,17,20,3
4,2026-05-19 23:06:41,ft06,fifo,0,4,5,20,26,6
4,2026-05-19 23:06:41,ft06,fifo,1,1,0,10,18,8
4,2026-05-19 23:06:41,ft06,fifo,1,2,1,18,23,5
4,2026-05-19 23:06:41,ft06,fifo,1,4,2,26,36,10
4,2026-05-19 23:06:41,ft06,fifo,1,5,3,36,46,10
4,2026-05-19 23:06:41,ft06,fifo,1,0,4,46,56,10
4,2026-05-19 23:06:41,ft06,fifo,1,3,5,56,60,4
4,2026-05-19 23:06:41,ft06,fifo,2,2,0,23,28,5
4,2026-05-19 23:06:41,ft06,fifo,2,3,1,60,64,4
4,2026-05-19 23:06:41,ft06,fifo,2,5,2,64,72,8
4,2026-05-19 23:06:41,ft06,fifo,2,0,3,72,81,9
4,2026-05-19 23:06:41,ft06,fifo,2,1,4,81,82,1
4,2026-05-19 23:06:41,ft06,fifo,2,4,5,82,89,7
4,2026-05-19 23:06:41,ft06,fifo,3,1,0,82,87,5
4,2026-05-19 23:06:41,ft06,fifo,3,0,1,87,92,5
4,2026-05-19 23:06:41,ft06,fifo,3,2,2,92,97,5
4,2026-05-19 23:06:41,ft06,fifo,3,3,3,97,100,3
4,2026-05-19 23:06:41,ft06,fifo,3,4,4,100,108,8
4,2026-05-19 23:06:41,ft06,fifo,3,5,5,108,117,9
4,2026-05-19 23:06:41,ft06,fifo,4,2,0,97,106,9
4,2026-05-19 23:06:41,ft06,fifo,4,1,1,106,109,3
4,2026-05-19 23:06:41,ft06,fifo,4,4,2,109,114,5
4,2026-05-19 23:06:41,ft06,fifo,4,5,3,117,121,4
4,2026-05-19 23:06:41,ft06,fifo,4,0,4,121,124,3
4,2026-05-19 23:06:41,ft06,fifo,4,3,5,124,125,1
4,2026-05-19 23:06:41,ft06,fifo,5,1,0,109,112,3
4,2026-05-19 23:06:41,ft06,fifo,5,3,1,125,128,3
4,2026-05-19 23:06:41,ft06,fifo,5,5,2,128,137,9
4,2026-05-19 23:06:41,ft06,fifo,5,0,3,137,147,10
4,2026-05-19 23:06:41,ft06,fifo,5,4,4,147,151,4
4,2026-05-19 23:06:41,ft06,fifo,5,2,5,151,152,1
5,2026-05-19 23:31:35,ft06,fifo,0,2,0,0,1,1
5,2026-05-19 23:31:35,ft06,fifo,0,0,1,1,4,3
5,2026-05-19 23:31:35,ft06,fifo,0,1,2,4,10,6
5,2026-05-19 23:31:35,ft06,fifo,0,3,3,10,17,7
5,2026-05-19 23:31:35,ft06,fifo,0,5,4,17,20,3
5,2026-05-19 23:31:35,ft06,fifo,0,4,5,20,26,6
5,2026-05-19 23:31:35,ft06,fifo,1,1,0,10,18,8
5,2026-05-19 23:31:35,ft06,fifo,1,2,1,18,23,5
5,2026-05-19 23:31:35,ft06,fifo,1,4,2,26,36,10
5,2026-05-19 23:31:35,ft06,fifo,1,5,3,36,46,10
5,2026-05-19 23:31:35,ft06,fifo,1,0,4,46,56,10
5,2026-05-19 23:31:35,ft06,fifo,1,3,5,56,60,4
5,2026-05-19 23:31:35,ft06,fifo,2,2,0,23,28,5
5,2026-05-19 23:31:35,ft06,fifo,2,3,1,60,64,4
5,2026-05-19 23:31:35,ft06,fifo,2,5,2,64,72,8
5,2026-05-19 23:31:35,ft06,fifo,2,0,3,72,81,9
5,2026-05-19 23:31:35,ft06,fifo,2,1,4,81,82,1
5,2026-05-19 23:31:35,ft06,fifo,2,4,5,82,89,7
5,2026-05-19 23:31:35,ft06,fifo,3,1,0,82,87,5
5,2026-05-19 23:31:35,ft06,fifo,3,0,1,87,92,5
5,2026-05-19 23:31:35,ft06,fifo,3,2,2,92,97,5
5,2026-05-19 23:31:35,ft06,fifo,3,3,3,97,100,3
5,2026-05-19 23:31:35,ft06,fifo,3,4,4,100,108,8
5,2026-05-19 23:31:35,ft06,fifo,3,5,5,108,117,9
5,2026-05-19 23:31:35,ft06,fifo,4,2,0,97,106,9
5,2026-05-19 23:31:35,ft06,fifo,4,1,1,106,109,3
5,2026-05-19 23:31:35,ft06,fifo,4,4,2,109,114,5
5,2026-05-19 23:31:35,ft06,fifo,4,5,3,117,121,4
5,2026-05-19 23:31:35,ft06,fifo,4,0,4,121,124,3
5,2026-05-19 23:31:35,ft06,fifo,4,3,5,124,125,1
5,2026-05-19 23:31:35,ft06,fifo,5,1,0,109,112,3
5,2026-05-19 23:31:35,ft06,fifo,5,3,1,125,128,3
5,2026-05-19 23:31:35,ft06,fifo,5,5,2,128,137,9
5,2026-05-19 23:31:35,ft06,fifo,5,0,3,137,147,10
5,2026-05-19 23:31:35,ft06,fifo,5,4,4,147,151,4
5,2026-05-19 23:31:35,ft06,fifo,5,2,5,151,152,1
6,2026-05-20 23:48:21,ft06,fifo,0,2,0,0,1,1
6,2026-05-20 23:48:21,ft06,fifo,0,0,1,1,4,3
6,2026-05-20 23:48:21,ft06,fifo,0,1,2,4,10,6
6,2026-05-20 23:48:21,ft06,fifo,0,3,3,10,17,7
6,2026-05-20 23:48:21,ft06,fifo,0,5,4,17,20,3
6,2026-05-20 23:48:21,ft06,fifo,0,4,5,20,26,6
6,2026-05-20 23:48:21,ft06,fifo,1,1,0,10,18,8
6,2026-05-20 23:48:21,ft06,fifo,1,2,1,18,23,5
6,2026-05-20 23:48:21,ft06,fifo,1,4,2,26,36,10
6,2026-05-20 23:48:21,ft06,fifo,1,5,3,36,46,10
6,2026-05-20 23:48:21,ft06,fifo,1,0,4,46,56,10
6,2026-05-20 23:48:21,ft06,fifo,1,3,5,56,60,4
6,2026-05-20 23:48:21,ft06,fifo,2,2,0,23,28,5
6,2026-05-20 23:48:21,ft06,fifo,2,3,1,60,64,4
6,2026-05-20 23:48:21,ft06,fifo,2,5,2,64,72,8
6,2026-05-20 23:48:21,ft06,fifo,2,0,3,72,81,9
6,2026-05-20 23:48:21,ft06,fifo,2,1,4,81,82,1
6,2026-05-20 23:48:21,ft06,fifo,2,4,5,82,89,7
6,2026-05-20 23:48:21,ft06,fifo,3,1,0,82,87,5
6,2026-05-20 23:48:21,ft06,fifo,3,0,1,87,92,5
6,2026-05-20 23:48:21,ft06,fifo,3,2,2,92,97,5
6,2026-05-20 23:48:21,ft06,fifo,3,3,3,97,100,3
6,2026-05-20 23:48:21,ft06,fifo,3,4,4,100,108,8
6,2026-05-20 23:48:21,ft06,fifo,3,5,5,108,117,9
6,2026-05-20 23:48:21,ft06,fifo,4,2,0,97,106,9
6,2026-05-20 23:48:21,ft06,fifo,4,1,1,106,109,3
6,2026-05-20 23:48:21,ft06,fifo,4,4,2,109,114,5
6,2026-05-20 23:48:21,ft06,fifo,4,5,3,117,121,4
6,2026-05-20 23:48:21,ft06,fifo,4,0,4,121,124,3
6,2026-05-20 23:48:21,ft06,fifo,4,3,5,124,125,1
6,2026-05-20 23:48:21,ft06,fifo,5,1,0,109,112,3
6,2026-05-20 23:48:21,ft06,fifo,5,3,1,125,128,3
6,2026-05-20 23:48:21,ft06,fifo,5,5,2,128,137,9
6,2026-05-20 23:48:21,ft06,fifo,5,0,3,137,147,10
6,2026-05-20 23:48:21,ft06,fifo,5,4,4,147,151,4
6,2026-05-20 23:48:21,ft06,fifo,5,2,5,151,152,1
7,2026-05-26 18:59:20,ft06,fifo,0,2,0,0,1,1
7,2026-05-26 18:59:20,ft06,fifo,0,0,1,1,4,3
7,2026-05-26 18:59:20,ft06,fifo,0,1,2,4,10,6
7,2026-05-26 18:59:20,ft06,fifo,0,3,3,10,17,7
7,2026-05-26 18:59:20,ft06,fifo,0,5,4,17,20,3
7,2026-05-26 18:59:20,ft06,fifo,0,4,5,20,26,6
7,2026-05-26 18:59:20,ft06,fifo,1,1,0,10,18,8
7,2026-05-26 18:59:20,ft06,fifo,1,2,1,18,23,5
7,2026-05-26 18:59:20,ft06,fifo,1,4,2,26,36,10
7,2026-05-26 18:59:20,ft06,fifo,1,5,3,36,46,10
7,2026-05-26 18:59:20,ft06,fifo,1,0,4,46,56,10
7,2026-05-26 18:59:20,ft06,fifo,1,3,5,56,60,4
7,2026-05-26 18:59:20,ft06,fifo,2,2,0,23,28,5
7,2026-05-26 18:59:20,ft06,fifo,2,3,1,60,64,4
7,2026-05-26 18:59:20,ft06,fifo,2,5,2,64,72,8
7,2026-05-26 18:59:20,ft06,fifo,2,0,3,72,81,9
7,2026-05-26 18:59:20,ft06,fifo,2,1,4,81,82,1
7,2026-05-26 18:59:20,ft06,fifo,2,4,5,82,89,7
7,2026-05-26 18:59:20,ft06,fifo,3,1,0,82,87,5
7,2026-05-26 18:59:20,ft06,fifo,3,0,1,87,92,5
7,2026-05-26 18:59:20,ft06,fifo,3,2,2,92,97,5
7,2026-05-26 18:59:20,ft06,fifo,3,3,3,97,100,3
7,2026-05-26 18:59:20,ft06,fifo,3,4,4,100,108,8
7,2026-05-26 18:59:20,ft06,fifo,3,5,5,108,117,9
7,2026-05-26 18:59:20,ft06,fifo,4,2,0,97,106,9
7,2026-05-26 18:59:20,ft06,fifo,4,1,1,106,109,3
7,2026-05-26 18:59:20,ft06,fifo,4,4,2,109,114,5
7,2026-05-26 18:59:20,ft06,fifo,4,5,3,117,121,4
7,2026-05-26 18:59:20,ft06,fifo,4,0,4,121,124,3
7,2026-05-26 18:59:20,ft06,fifo,4,3,5,124,125,1
7,2026-05-26 18:59:20,ft06,fifo,5,1,0,109,112,3
7,2026-05-26 18:59:20,ft06,fifo,5,3,1,125,128,3
7,2026-05-26 18:59:20,ft06,fifo,5,5,2,128,137,9
7,2026-05-26 18:59:20,ft06,fifo,5,0,3,137,147,10
7,2026-05-26 18:59:20,ft06,fifo,5,4,4,147,151,4
7,2026-05-26 18:59:20,ft06,fifo,5,2,5,151,152,1
8,2026-06-01 09:39:20,ft06,fifo,0,2,0,0,1,1
8,2026-06-01 09:39:20,ft06,fifo,0,0,1,1,4,3
8,2026-06-01 09:39:20,ft06,fifo,0,1,2,4,10,6
8,2026-06-01 09:39:20,ft06,fifo,0,3,3,10,17,7
8,2026-06-01 09:39:20,ft06,fifo,0,5,4,17,20,3
8,2026-06-01 09:39:20,ft06,fifo,0,4,5,20,26,6
8,2026-06-01 09:39:20,ft06,fifo,1,1,0,10,18,8
8,2026-06-01 09:39:20,ft06,fifo,1,2,1,18,23,5
8,2026-06-01 09:39:20,ft06,fifo,1,4,2,26,36,10
8,2026-06-01 09:39:20,ft06,fifo,1,5,3,36,46,10
8,2026-06-01 09:39:20,ft06,fifo,1,0,4,46,56,10
8,2026-06-01 09:39:20,ft06,fifo,1,3,5,56,60,4
8,2026-06-01 09:39:20,ft06,fifo,2,2,0,23,28,5
8,2026-06-01 09:39:20,ft06,fifo,2,3,1,60,64,4
8,2026-06-01 09:39:20,ft06,fifo,2,5,2,64,72,8
8,2026-06-01 09:39:20,ft06,fifo,2,0,3,72,81,9
8,2026-06-01 09:39:20,ft06,fifo,2,1,4,81,82,1
8,2026-06-01 09:39:20,ft06,fifo,2,4,5,82,89,7
8,2026-06-01 09:39:20,ft06,fifo,3,1,0,82,87,5
8,2026-06-01 09:39:20,ft06,fifo,3,0,1,87,92,5
8,2026-06-01 09:39:20,ft06,fifo,3,2,2,92,97,5
8,2026-06-01 09:39:20,ft06,fifo,3,3,3,97,100,3
8,2026-06-01 09:39:20,ft06,fifo,3,4,4,100,108,8
8,2026-06-01 09:39:20,ft06,fifo,3,5,5,108,117,9
8,2026-06-01 09:39:20,ft06,fifo,4,2,0,97,106,9
8,2026-06-01 09:39:20,ft06,fifo,4,1,1,106,109,3
8,2026-06-01 09:39:20,ft06,fifo,4,4,2,109,114,5
8,2026-06-01 09:39:20,ft06,fifo,4,5,3,117,121,4
8,2026-06-01 09:39:20,ft06,fifo,4,0,4,121,124,3
8,2026-06-01 09:39:20,ft06,fifo,4,3,5,124,125,1
8,2026-06-01 09:39:20,ft06,fifo,5,1,0,109,112,3
8,2026-06-01 09:39:20,ft06,fifo,5,3,1,125,128,3
8,2026-06-01 09:39:20,ft06,fifo,5,5,2,128,137,9
8,2026-06-01 09:39:20,ft06,fifo,5,0,3,137,147,10
8,2026-06-01 09:39:20,ft06,fifo,5,4,4,147,151,4
8,2026-06-01 09:39:20,ft06,fifo,5,2,5,151,152,1
